step  power(W)
5500    0.041247841520588226
5520    0.041265203378125
5540    0.04126755520000001
5560    0.04126875960000002
5580    0.04125394349333333
5600    0.04123597469166667
5620    0.041206610469999995
5640    0.0411437631521739
5660    0.041062595774999995
5680    0.040998689548
5700    0.04091042121428571
5720    0.04083865748387097
5740    0.04075333043225807
5760    0.04062044876923078
5780    0.04050644466500001
5800    0.04035113496206896
5820    0.040222370579310336
5840    0.040065295761111105
5860    0.03984872445263158
5880    0.03965791036875
5900    0.03948067679565217
5920    0.03926979535
5940    0.03909853721333334
5960    0.038965051077419356
5980    0.03872491716
6000    0.03848641645
6020    0.03829650603870967
6040    0.03800933538636364
6060    0.037803988915624996
6080    0.037491299984210524
6100    0.037221208343750006
6120    0.03699348802857143
6140    0.036725953012121205
6160    0.03638573248260869
6180    0.03606793081428571
6200    0.03579143859333333
6220    0.03548820099166668
6240    0.03517363848125
6260    0.034747583333333325
6280    0.034454636036666667
6300    0.03418310915999999
6320    0.033891796234285704
6340    0.033514429218749996
6360    0.03307818009722222
6380    0.032650890771875
6400    0.032257527416000006
6420    0.03193196314782609
6440    0.03153890246296296
6460    0.031108140955999997
6480    0.03061621185416667
6500    0.030215701945454546
6520    0.0298245158
6540    0.0293495697962963
6560    0.028758379991666663
6580    0.028063432376470594
6600    0.027139939235714287
6620    0.026721092330303033
6640    0.026223750351612913
6660    0.025532550329032254
6680    0.024726101199999996
6700    0.024294157822580643
6720    0.023359363586666668
6740    0.022862889862500003
6760    0.022212862463636365
6780    0.02114593183225807
6800    0.0202976989875
6820    0.020215097085714288
6840    0.019804963376923078
6860    0.019206716009523808
6880    0.018799314434285713
6900    0.01831649289285714
6920    0.01761264504
6940    0.01723794466451613
6960    0.016850928503225806
6980    0.01640573229090909
7000    0.015941144674285715
7020    0.01541542005882353
7040    0.014880876985714287
7060    0.014272029522857145
7080    0.013749487082758622
7100    0.013160871899999997
7120    0.012671912864705884
7140    0.012101006
7160    0.011464591143749998
7180    0.010810086678787877
7200    0.010243654611764703
7220    0.009743680555277776
7240    0.009232106218571429
7260    0.008687151362142856
7280    0.008201220009666669
7300    0.0077374915034782625
7320    0.007308681672941175
7340    0.006903884100526317
7360    0.006507617281515152
7380    0.006108247623428572
7400    0.005686025059999998
7420    0.0052810067115625
7440    0.004889424342352941
7460    0.004494661568709678
7480    0.004099702816470589
7500    0.0038257037650000006
7520    0.0034959584711764715
7540    0.0032851535038709674
7560    0.003017456018484848
7580    0.002805509592
7600    0.002628556849705881
7620    0.0024604519423809526
7640    0.002285646140967742
7660    0.00213960348
7680    0.0020074961041666663
7700    0.0018741136933333334
7720    0.0017360151449999997
7740    0.0015985189581481484
7760    0.0014803627922727277
7780    0.0013854803003448277
7800    0.001300063976956522
7820    0.0012144220435714287
7840    0.0011320037386206895
7860    0.0010524029414285716
7880    0.0009827326606666664
7900    0.0009157976429583333
7920    0.000855669108173913
7940    0.0007916037523714284
7960    0.0007248360072857143
7980    0.0006769584269285715
8000    0.0006237400845624999
8020    0.0005730857413225808
8040    0.0005234548910344828
8060    0.0004755038378437501
8080    0.0004329248957894736
8100    0.00039270353538709674
8120    0.00035564173429411766
8140    0.00032333487068000004
8160    0.00029221874932258067
8180    0.0002622373760666667
8200    0.00023527616145833336
8220    0.00021195340555999997
8240    0.0001879971413214286
8260    0.00016810529203846155
8280    0.00014922813675000002
8300    0.00012960461394999998
8320    0.00011120901990000001
8340    9.506998805714287e-05
8360    8.229046837407408e-05
8380    7.166237104e-05
8400    6.072275227142858e-05
8420    5.082100428095238e-05
8440    4.2058839172727275e-05
8460    3.410169665e-05
8480    2.384914346666667e-05
8500    2.036904654761905e-05
8520    1.6942578223076924e-05
8540    1.3333322466666665e-05
8560    1.0541002142857145e-05
8580    8.154041514166667e-06
8600    6.1701936e-06
8620    4.593483422608696e-06
8640    3.3866649273913043e-06
8660    2.3878142575000008e-06
8680    1.7190215347368417e-06
8700    1.3278666857692306e-06
8720    1.0403583809333338e-06
8740    9.987399047199998e-07
8760    9.234559573999999e-07
8780    8.676268245714284e-07
8800    8.315872546499999e-07
8820    8.735503207142858e-07
8840    8.471700062272727e-07
8860    8.332191075599999e-07
8880    8.75634582652174e-07
8900    8.459021685200003e-07
8920    8.775981077272729e-07
8940    8.574438386315788e-07
8960    8.373401499411765e-07
8980    8.382751782631578e-07
9000    8.656592888125e-07
9020    8.460624550555555e-07
9040    8.251572414705882e-07
9060    8.435510595714286e-07
9080    8.230278296521738e-07
9100    8.615559326521741e-07
9120    8.88557592666667e-07
9140    8.500165367777776e-07
9160    8.250362762500002e-07
9180    8.323893327777776e-07
